iter	Passed	Remaining
0	122	121892
1	123	61663
2	125	41553
3	125	31367
4	127	25289
5	128	21240
6	129	18406
7	131	16327
8	132	14636
9	134	13288
10	135	12171
11	136	11250
12	137	10455
13	139	9828
14	141	9277
15	143	8806
16	144	8338
17	145	7915
18	146	7544
19	147	7210
20	148	6903
21	149	6626
22	149	6368
23	150	6137
24	151	5924
25	152	5728
26	153	5541
27	155	5393
28	156	5250
29	157	5104
30	158	4963
31	159	4831
32	160	4708
33	161	4594
34	162	4484
35	163	4379
36	164	4282
37	165	4191
38	166	4103
39	167	4021
40	168	3949
41	170	3896
42	171	3825
43	172	3758
44	174	3692
45	174	3629
46	176	3572
47	177	3514
48	178	3457
49	179	3404
50	180	3353
51	181	3306
52	182	3263
53	184	3233
54	185	3190
55	186	3146
56	187	3105
57	188	3064
58	189	3030
59	191	2993
60	192	2957
61	193	2922
62	194	2886
63	195	2854
64	196	2826
65	198	2808
66	199	2780
67	200	2751
68	201	2722
69	202	2694
70	203	2667
71	204	2640
72	206	2615
73	207	2592
74	208	2569
75	209	2547
76	210	2523
77	212	2506
78	213	2490
79	214	2467
80	215	2446
81	216	2424
82	217	2403
83	218	2383
84	219	2364
85	220	2345
86	221	2325
87	222	2307
88	223	2290
89	224	2274
90	227	2275
91	229	2268
92	231	2254
93	232	2241
94	233	2225
95	234	2210
96	235	2195
97	236	2180
98	237	2165
99	239	2151
100	240	2136
101	242	2133
102	244	2128
103	245	2115
104	246	2102
105	247	2089
106	248	2076
107	249	2063
108	251	2051
109	252	2039
110	253	2027
111	254	2014
112	255	2002
113	257	1997
114	258	1991
115	259	1979
116	260	1968
117	261	1956
118	262	1944
119	263	1933
120	264	1923
121	265	1912
122	266	1902
123	267	1892
124	268	1881
125	269	1871
126	271	1864
127	273	1861
128	275	1857
129	275	1846
130	276	1837
131	277	1827
132	279	1819
133	280	1810
134	281	1801
135	282	1791
136	282	1782
137	283	1773
138	284	1764
139	286	1759
140	288	1758
141	289	1750
142	290	1742
143	291	1734
144	292	1726
145	293	1718
146	294	1710
147	295	1702
148	296	1694
149	297	1686
150	298	1679
151	299	1672
152	301	1667
153	302	1663
154	303	1656
155	304	1650
156	305	1642
157	306	1635
158	307	1628
159	308	1621
160	310	1616
161	311	1609
162	312	1603
163	313	1596
164	314	1590
165	315	1584
166	318	1589
167	319	1583
168	320	1577
169	321	1571
170	322	1565
171	324	1559
172	325	1553
173	326	1548
174	327	1542
175	328	1536
176	329	1531
177	332	1534
178	333	1531
179	334	1525
180	336	1521
181	337	1516
182	338	1511
183	339	1505
184	340	1499
185	341	1494
186	342	1489
187	343	1484
188	344	1478
189	347	1480
190	348	1477
191	349	1472
192	350	1466
193	351	1461
194	352	1456
195	353	1451
196	354	1445
197	355	1440
198	356	1436
199	357	1431
200	358	1426
201	359	1422
202	362	1423
203	363	1419
204	364	1415
205	366	1410
206	367	1406
207	367	1401
208	368	1396
209	369	1391
210	370	1386
211	371	1381
212	372	1377
213	373	1372
214	374	1368
215	377	1369
216	378	1365
217	379	1360
218	380	1356
219	381	1352
220	382	1348
221	383	1344
222	384	1339
223	385	1335
224	386	1332
225	388	1328
226	389	1325
227	390	1322
228	392	1320
229	393	1316
230	394	1312
231	395	1308
232	396	1304
233	397	1300
234	398	1296
235	399	1293
236	400	1289
237	401	1285
238	402	1282
239	403	1278
240	405	1275
241	407	1275
242	408	1271
243	409	1267
244	410	1264
245	411	1260
246	412	1256
247	413	1252
248	414	1249
249	415	1245
250	416	1241
251	417	1237
252	418	1234
253	419	1230
254	421	1230
255	422	1228
256	423	1224
257	424	1221
258	425	1217
259	426	1214
260	427	1210
261	428	1207
262	429	1204
263	430	1200
264	431	1197
265	433	1195
266	434	1191
267	435	1190
268	436	1187
269	437	1184
270	439	1180
271	439	1177
272	440	1174
273	441	1171
274	443	1168
275	444	1165
276	445	1162
277	446	1159
278	447	1156
279	448	1153
280	451	1154
281	452	1152
282	453	1148
283	454	1145
284	455	1142
285	456	1139
286	457	1136
287	458	1133
288	459	1130
289	460	1127
290	461	1124
291	462	1121
292	463	1118
293	466	1119
294	467	1117
295	468	1115
296	469	1112
297	471	1109
298	472	1107
299	473	1104
300	474	1102
301	475	1099
302	477	1097
303	478	1095
304	480	1094
305	481	1092
306	482	1089
307	483	1087
308	485	1084
309	486	1081
310	487	1079
311	488	1077
312	489	1075
313	490	1072
314	492	1070
315	493	1067
316	495	1067
317	497	1066
318	498	1063
319	499	1061
320	500	1058
321	501	1055
322	502	1052
323	503	1050
324	504	1047
325	505	1044
326	506	1041
327	507	1039
328	508	1036
329	511	1037
330	512	1035
331	513	1033
332	514	1030
333	515	1028
334	517	1026
335	518	1023
336	519	1021
337	520	1018
338	521	1016
339	522	1014
340	523	1012
341	525	1011
342	526	1009
343	527	1006
344	528	1004
345	530	1001
346	531	999
347	531	996
348	532	994
349	534	992
350	535	989
351	536	987
352	537	984
353	538	982
354	540	982
355	541	980
356	543	978
357	544	976
358	545	973
359	546	971
360	547	969
361	548	967
362	550	965
363	551	962
364	552	960
365	553	958
366	555	958
367	556	956
368	557	953
369	558	951
370	559	948
371	560	946
372	561	944
373	563	942
374	564	940
375	565	937
376	566	935
377	567	933
378	568	931
379	570	930
380	571	928
381	572	925
382	573	923
383	574	921
384	575	919
385	576	917
386	577	915
387	579	913
388	580	911
389	581	909
390	582	907
391	585	907
392	586	906
393	587	904
394	588	902
395	590	899
396	591	897
397	592	895
398	593	894
399	594	892
400	595	890
401	596	887
402	597	885
403	600	885
404	601	883
405	602	881
406	603	878
